"","cluster","spot"
"spot768",3,"spot768"
"spot769",3,"spot769"
"spot770",3,"spot770"
"spot771",3,"spot771"
"spot772",3,"spot772"
"spot773",3,"spot773"
"spot774",3,"spot774"
"spot775",3,"spot775"
"spot776",3,"spot776"
"spot777",3,"spot777"
"spot778",3,"spot778"
"spot779",3,"spot779"
"spot780",3,"spot780"
"spot781",3,"spot781"
"spot782",3,"spot782"
"spot783",3,"spot783"
"spot784",3,"spot784"
"spot785",3,"spot785"
"spot786",3,"spot786"
"spot787",3,"spot787"
"spot788",3,"spot788"
"spot789",3,"spot789"
"spot790",3,"spot790"
"spot791",3,"spot791"
"spot792",3,"spot792"
"spot793",3,"spot793"
"spot794",3,"spot794"
"spot795",3,"spot795"
"spot796",3,"spot796"
"spot797",3,"spot797"
"spot798",3,"spot798"
"spot799",3,"spot799"
"spot800",3,"spot800"
"spot801",3,"spot801"
"spot802",3,"spot802"
"spot803",3,"spot803"
"spot804",3,"spot804"
"spot805",3,"spot805"
"spot806",3,"spot806"
"spot807",3,"spot807"
"spot808",3,"spot808"
"spot809",3,"spot809"
"spot810",3,"spot810"
"spot811",3,"spot811"
"spot812",3,"spot812"
"spot813",3,"spot813"
"spot814",3,"spot814"
"spot815",3,"spot815"
"spot816",3,"spot816"
"spot817",3,"spot817"
"spot818",3,"spot818"
"spot819",3,"spot819"
"spot820",3,"spot820"
"spot821",3,"spot821"
"spot822",3,"spot822"
"spot823",3,"spot823"
"spot824",3,"spot824"
"spot825",3,"spot825"
"spot826",3,"spot826"
"spot827",3,"spot827"
"spot828",3,"spot828"
"spot829",3,"spot829"
"spot830",3,"spot830"
"spot831",3,"spot831"
"spot832",3,"spot832"
"spot833",3,"spot833"
"spot834",3,"spot834"
"spot835",3,"spot835"
"spot836",3,"spot836"
"spot837",3,"spot837"
"spot838",3,"spot838"
"spot839",3,"spot839"
"spot840",3,"spot840"
"spot841",3,"spot841"
"spot842",3,"spot842"
"spot843",3,"spot843"
"spot844",3,"spot844"
"spot845",3,"spot845"
"spot846",3,"spot846"
"spot847",3,"spot847"
"spot848",3,"spot848"
"spot849",3,"spot849"
"spot850",3,"spot850"
"spot851",3,"spot851"
"spot852",3,"spot852"
"spot853",3,"spot853"
"spot854",3,"spot854"
"spot855",3,"spot855"
"spot856",3,"spot856"
"spot857",3,"spot857"
"spot858",3,"spot858"
"spot859",3,"spot859"
"spot860",3,"spot860"
"spot861",3,"spot861"
"spot862",3,"spot862"
"spot863",3,"spot863"
"spot864",3,"spot864"
"spot865",3,"spot865"
"spot866",3,"spot866"
"spot867",3,"spot867"
"spot868",3,"spot868"
"spot869",3,"spot869"
"spot870",3,"spot870"
"spot871",3,"spot871"
"spot872",3,"spot872"
"spot873",3,"spot873"
"spot874",3,"spot874"
"spot875",3,"spot875"
"spot876",3,"spot876"
"spot877",3,"spot877"
"spot878",3,"spot878"
"spot879",3,"spot879"
"spot880",3,"spot880"
"spot881",3,"spot881"
"spot882",3,"spot882"
"spot883",3,"spot883"
"spot884",3,"spot884"
"spot885",3,"spot885"
"spot886",3,"spot886"
"spot887",3,"spot887"
"spot888",3,"spot888"
"spot889",3,"spot889"
"spot890",3,"spot890"
"spot891",3,"spot891"
"spot892",3,"spot892"
"spot893",3,"spot893"
"spot894",3,"spot894"
"spot895",3,"spot895"
"spot896",3,"spot896"
"spot897",3,"spot897"
"spot898",3,"spot898"
"spot899",3,"spot899"
"spot900",3,"spot900"
"spot901",4,"spot901"
"spot902",4,"spot902"
"spot903",4,"spot903"
"spot904",4,"spot904"
"spot905",4,"spot905"
"spot906",4,"spot906"
"spot907",4,"spot907"
"spot908",4,"spot908"
"spot909",4,"spot909"
"spot910",4,"spot910"
"spot911",4,"spot911"
"spot912",4,"spot912"
"spot913",4,"spot913"
"spot914",4,"spot914"
"spot915",4,"spot915"
"spot916",4,"spot916"
"spot917",4,"spot917"
"spot918",4,"spot918"
"spot919",4,"spot919"
"spot920",4,"spot920"
"spot921",4,"spot921"
"spot922",4,"spot922"
"spot923",4,"spot923"
"spot924",4,"spot924"
"spot925",4,"spot925"
"spot926",4,"spot926"
"spot927",4,"spot927"
"spot928",4,"spot928"
"spot929",4,"spot929"
"spot930",4,"spot930"
"spot931",4,"spot931"
"spot932",4,"spot932"
"spot933",4,"spot933"
"spot934",4,"spot934"
"spot935",4,"spot935"
"spot936",4,"spot936"
"spot937",4,"spot937"
"spot938",4,"spot938"
"spot939",4,"spot939"
"spot940",4,"spot940"
"spot941",4,"spot941"
"spot942",4,"spot942"
"spot943",4,"spot943"
"spot944",4,"spot944"
"spot945",4,"spot945"
"spot946",4,"spot946"
"spot947",4,"spot947"
"spot948",4,"spot948"
"spot949",4,"spot949"
"spot950",4,"spot950"
"spot951",4,"spot951"
"spot952",4,"spot952"
"spot953",4,"spot953"
"spot954",4,"spot954"
"spot955",4,"spot955"
"spot956",4,"spot956"
"spot957",4,"spot957"
"spot958",4,"spot958"
"spot959",4,"spot959"
"spot960",4,"spot960"
"spot961",4,"spot961"
"spot962",4,"spot962"
"spot963",4,"spot963"
"spot964",4,"spot964"
"spot965",4,"spot965"
"spot966",4,"spot966"
"spot967",4,"spot967"
"spot968",4,"spot968"
"spot969",4,"spot969"
"spot970",4,"spot970"
"spot971",4,"spot971"
"spot972",4,"spot972"
"spot973",4,"spot973"
"spot974",4,"spot974"
"spot975",4,"spot975"
"spot976",4,"spot976"
"spot977",4,"spot977"
"spot978",4,"spot978"
"spot979",4,"spot979"
"spot980",4,"spot980"
"spot981",4,"spot981"
"spot982",4,"spot982"
"spot983",4,"spot983"
"spot984",4,"spot984"
"spot985",4,"spot985"
"spot986",4,"spot986"
"spot987",4,"spot987"
"spot988",4,"spot988"
"spot989",4,"spot989"
"spot990",4,"spot990"
"spot991",4,"spot991"
"spot992",4,"spot992"
"spot993",4,"spot993"
"spot994",4,"spot994"
"spot995",4,"spot995"
"spot996",4,"spot996"
"spot997",4,"spot997"
"spot998",4,"spot998"
"spot999",4,"spot999"
"spot1000",4,"spot1000"
