"","cluster","spot"
"spot443",4,"spot443"
"spot444",4,"spot444"
"spot445",4,"spot445"
"spot446",4,"spot446"
"spot447",4,"spot447"
"spot448",4,"spot448"
"spot449",4,"spot449"
"spot450",4,"spot450"
"spot451",4,"spot451"
"spot452",4,"spot452"
"spot453",4,"spot453"
"spot454",4,"spot454"
"spot455",4,"spot455"
"spot456",4,"spot456"
"spot457",4,"spot457"
"spot458",4,"spot458"
"spot459",4,"spot459"
"spot460",4,"spot460"
"spot461",4,"spot461"
"spot462",4,"spot462"
"spot463",4,"spot463"
"spot464",4,"spot464"
"spot465",4,"spot465"
"spot466",4,"spot466"
"spot467",4,"spot467"
"spot468",4,"spot468"
"spot469",4,"spot469"
"spot470",4,"spot470"
"spot471",4,"spot471"
"spot472",4,"spot472"
"spot473",4,"spot473"
"spot474",4,"spot474"
"spot475",4,"spot475"
"spot476",4,"spot476"
"spot477",4,"spot477"
"spot478",4,"spot478"
"spot479",4,"spot479"
"spot480",4,"spot480"
"spot481",4,"spot481"
"spot482",4,"spot482"
"spot483",4,"spot483"
"spot484",4,"spot484"
"spot485",4,"spot485"
"spot486",4,"spot486"
"spot487",4,"spot487"
"spot488",4,"spot488"
"spot489",4,"spot489"
"spot490",4,"spot490"
"spot491",4,"spot491"
"spot492",4,"spot492"
"spot493",4,"spot493"
"spot494",4,"spot494"
"spot495",4,"spot495"
"spot496",4,"spot496"
"spot497",4,"spot497"
"spot498",4,"spot498"
"spot499",4,"spot499"
"spot500",4,"spot500"
