"","cluster","spot"
"spot1113",2,"spot1113"
"spot1114",2,"spot1114"
"spot1115",2,"spot1115"
"spot1116",2,"spot1116"
"spot1117",2,"spot1117"
"spot1118",2,"spot1118"
"spot1119",2,"spot1119"
"spot1120",2,"spot1120"
"spot1121",2,"spot1121"
"spot1122",2,"spot1122"
"spot1123",2,"spot1123"
"spot1124",2,"spot1124"
"spot1125",2,"spot1125"
"spot1126",2,"spot1126"
"spot1127",2,"spot1127"
"spot1128",2,"spot1128"
"spot1129",2,"spot1129"
"spot1130",2,"spot1130"
"spot1131",2,"spot1131"
"spot1132",2,"spot1132"
"spot1133",2,"spot1133"
"spot1134",2,"spot1134"
"spot1135",2,"spot1135"
"spot1136",2,"spot1136"
"spot1137",2,"spot1137"
"spot1138",2,"spot1138"
"spot1139",2,"spot1139"
"spot1140",2,"spot1140"
"spot1141",2,"spot1141"
"spot1142",2,"spot1142"
"spot1143",2,"spot1143"
"spot1144",2,"spot1144"
"spot1145",2,"spot1145"
"spot1146",2,"spot1146"
"spot1147",2,"spot1147"
"spot1148",2,"spot1148"
"spot1149",2,"spot1149"
"spot1150",2,"spot1150"
"spot1151",2,"spot1151"
"spot1152",2,"spot1152"
"spot1153",2,"spot1153"
"spot1154",2,"spot1154"
"spot1155",2,"spot1155"
"spot1156",2,"spot1156"
"spot1157",2,"spot1157"
"spot1158",2,"spot1158"
"spot1159",2,"spot1159"
"spot1160",2,"spot1160"
"spot1161",2,"spot1161"
"spot1162",2,"spot1162"
"spot1163",2,"spot1163"
"spot1164",2,"spot1164"
"spot1165",2,"spot1165"
"spot1166",2,"spot1166"
"spot1167",2,"spot1167"
"spot1168",2,"spot1168"
"spot1169",2,"spot1169"
"spot1170",2,"spot1170"
"spot1171",2,"spot1171"
"spot1172",2,"spot1172"
"spot1173",2,"spot1173"
"spot1174",2,"spot1174"
"spot1175",2,"spot1175"
"spot1176",2,"spot1176"
"spot1177",2,"spot1177"
"spot1178",2,"spot1178"
"spot1179",2,"spot1179"
"spot1180",2,"spot1180"
"spot1181",2,"spot1181"
"spot1182",2,"spot1182"
"spot1183",2,"spot1183"
"spot1184",2,"spot1184"
"spot1185",2,"spot1185"
"spot1186",2,"spot1186"
"spot1187",2,"spot1187"
"spot1188",2,"spot1188"
"spot1189",2,"spot1189"
"spot1190",2,"spot1190"
"spot1191",2,"spot1191"
"spot1192",2,"spot1192"
"spot1193",2,"spot1193"
"spot1194",2,"spot1194"
"spot1195",2,"spot1195"
"spot1196",2,"spot1196"
"spot1197",2,"spot1197"
"spot1198",2,"spot1198"
"spot1199",2,"spot1199"
"spot1200",2,"spot1200"
"spot1201",3,"spot1201"
"spot1202",3,"spot1202"
"spot1203",3,"spot1203"
"spot1204",3,"spot1204"
"spot1205",3,"spot1205"
"spot1206",3,"spot1206"
"spot1207",3,"spot1207"
"spot1208",3,"spot1208"
"spot1209",3,"spot1209"
"spot1210",3,"spot1210"
"spot1211",3,"spot1211"
"spot1212",3,"spot1212"
"spot1213",3,"spot1213"
"spot1214",3,"spot1214"
"spot1215",3,"spot1215"
"spot1216",3,"spot1216"
"spot1217",3,"spot1217"
"spot1218",3,"spot1218"
"spot1219",3,"spot1219"
"spot1220",3,"spot1220"
"spot1221",3,"spot1221"
"spot1222",3,"spot1222"
"spot1223",3,"spot1223"
"spot1224",3,"spot1224"
"spot1225",3,"spot1225"
"spot1226",3,"spot1226"
"spot1227",3,"spot1227"
"spot1228",3,"spot1228"
"spot1229",3,"spot1229"
"spot1230",3,"spot1230"
"spot1231",3,"spot1231"
"spot1232",3,"spot1232"
"spot1233",3,"spot1233"
"spot1234",3,"spot1234"
"spot1235",3,"spot1235"
"spot1236",3,"spot1236"
"spot1237",3,"spot1237"
"spot1238",3,"spot1238"
"spot1239",3,"spot1239"
"spot1240",3,"spot1240"
"spot1241",3,"spot1241"
"spot1242",3,"spot1242"
"spot1243",3,"spot1243"
"spot1244",3,"spot1244"
"spot1245",3,"spot1245"
"spot1246",3,"spot1246"
"spot1247",3,"spot1247"
"spot1248",3,"spot1248"
"spot1249",3,"spot1249"
"spot1250",3,"spot1250"
"spot1251",3,"spot1251"
"spot1252",3,"spot1252"
"spot1253",3,"spot1253"
"spot1254",3,"spot1254"
"spot1255",3,"spot1255"
"spot1256",3,"spot1256"
"spot1257",3,"spot1257"
"spot1258",3,"spot1258"
"spot1259",3,"spot1259"
"spot1260",3,"spot1260"
"spot1261",3,"spot1261"
"spot1262",3,"spot1262"
"spot1263",3,"spot1263"
"spot1264",3,"spot1264"
"spot1265",3,"spot1265"
"spot1266",3,"spot1266"
"spot1267",3,"spot1267"
"spot1268",3,"spot1268"
"spot1269",3,"spot1269"
"spot1270",3,"spot1270"
"spot1271",3,"spot1271"
"spot1272",3,"spot1272"
"spot1273",3,"spot1273"
"spot1274",3,"spot1274"
"spot1275",3,"spot1275"
"spot1276",3,"spot1276"
"spot1277",3,"spot1277"
"spot1278",3,"spot1278"
"spot1279",3,"spot1279"
"spot1280",3,"spot1280"
"spot1281",3,"spot1281"
"spot1282",3,"spot1282"
"spot1283",3,"spot1283"
"spot1284",3,"spot1284"
"spot1285",3,"spot1285"
"spot1286",3,"spot1286"
"spot1287",3,"spot1287"
"spot1288",3,"spot1288"
"spot1289",3,"spot1289"
"spot1290",3,"spot1290"
"spot1291",3,"spot1291"
"spot1292",3,"spot1292"
"spot1293",3,"spot1293"
"spot1294",3,"spot1294"
"spot1295",3,"spot1295"
"spot1296",3,"spot1296"
"spot1297",3,"spot1297"
"spot1298",3,"spot1298"
"spot1299",3,"spot1299"
"spot1300",3,"spot1300"
"spot1301",3,"spot1301"
"spot1302",3,"spot1302"
"spot1303",3,"spot1303"
"spot1304",3,"spot1304"
"spot1305",3,"spot1305"
"spot1306",3,"spot1306"
"spot1307",3,"spot1307"
"spot1308",3,"spot1308"
"spot1309",3,"spot1309"
"spot1310",3,"spot1310"
"spot1311",3,"spot1311"
"spot1312",3,"spot1312"
"spot1313",3,"spot1313"
"spot1314",3,"spot1314"
"spot1315",3,"spot1315"
"spot1316",3,"spot1316"
"spot1317",3,"spot1317"
"spot1318",3,"spot1318"
"spot1319",3,"spot1319"
"spot1320",3,"spot1320"
"spot1321",3,"spot1321"
"spot1322",3,"spot1322"
"spot1323",3,"spot1323"
"spot1324",3,"spot1324"
"spot1325",3,"spot1325"
"spot1326",3,"spot1326"
"spot1327",3,"spot1327"
"spot1328",3,"spot1328"
"spot1329",3,"spot1329"
"spot1330",3,"spot1330"
"spot1331",3,"spot1331"
"spot1332",3,"spot1332"
"spot1333",3,"spot1333"
"spot1334",3,"spot1334"
"spot1335",3,"spot1335"
"spot1336",3,"spot1336"
"spot1337",3,"spot1337"
"spot1338",3,"spot1338"
"spot1339",3,"spot1339"
"spot1340",3,"spot1340"
"spot1341",3,"spot1341"
"spot1342",3,"spot1342"
"spot1343",3,"spot1343"
"spot1344",3,"spot1344"
"spot1345",3,"spot1345"
"spot1346",3,"spot1346"
"spot1347",3,"spot1347"
"spot1348",3,"spot1348"
"spot1349",3,"spot1349"
"spot1350",3,"spot1350"
"spot1351",3,"spot1351"
"spot1352",3,"spot1352"
"spot1353",3,"spot1353"
"spot1354",3,"spot1354"
"spot1355",3,"spot1355"
"spot1356",3,"spot1356"
"spot1357",3,"spot1357"
"spot1358",3,"spot1358"
"spot1359",3,"spot1359"
"spot1360",3,"spot1360"
"spot1361",3,"spot1361"
"spot1362",3,"spot1362"
"spot1363",3,"spot1363"
"spot1364",3,"spot1364"
"spot1365",3,"spot1365"
"spot1366",3,"spot1366"
"spot1367",3,"spot1367"
"spot1368",3,"spot1368"
"spot1369",3,"spot1369"
"spot1370",3,"spot1370"
"spot1371",3,"spot1371"
"spot1372",3,"spot1372"
"spot1373",3,"spot1373"
"spot1374",3,"spot1374"
"spot1375",3,"spot1375"
"spot1376",3,"spot1376"
"spot1377",3,"spot1377"
"spot1378",3,"spot1378"
"spot1379",3,"spot1379"
"spot1380",3,"spot1380"
"spot1381",3,"spot1381"
"spot1382",3,"spot1382"
"spot1383",3,"spot1383"
"spot1384",3,"spot1384"
"spot1385",3,"spot1385"
"spot1386",3,"spot1386"
"spot1387",3,"spot1387"
"spot1388",3,"spot1388"
"spot1389",3,"spot1389"
"spot1390",3,"spot1390"
"spot1391",3,"spot1391"
"spot1392",3,"spot1392"
"spot1393",3,"spot1393"
"spot1394",3,"spot1394"
"spot1395",3,"spot1395"
"spot1396",3,"spot1396"
"spot1397",3,"spot1397"
"spot1398",3,"spot1398"
"spot1399",3,"spot1399"
"spot1400",3,"spot1400"
