"","cluster","spot"
"spot1633",2,"spot1633"
"spot1635",2,"spot1635"
"spot1636",2,"spot1636"
"spot1637",2,"spot1637"
"spot1638",2,"spot1638"
"spot1639",2,"spot1639"
"spot1640",2,"spot1640"
"spot1641",2,"spot1641"
"spot1642",2,"spot1642"
"spot1643",2,"spot1643"
"spot1644",2,"spot1644"
"spot1645",2,"spot1645"
"spot1646",2,"spot1646"
"spot1648",2,"spot1648"
"spot1649",2,"spot1649"
"spot1650",2,"spot1650"
"spot1651",2,"spot1651"
"spot1652",2,"spot1652"
"spot1653",2,"spot1653"
"spot1654",2,"spot1654"
"spot1655",2,"spot1655"
"spot1656",2,"spot1656"
"spot1657",2,"spot1657"
"spot1658",2,"spot1658"
"spot1659",2,"spot1659"
"spot1660",2,"spot1660"
"spot1662",2,"spot1662"
"spot1663",2,"spot1663"
"spot1664",2,"spot1664"
"spot1665",2,"spot1665"
"spot1666",2,"spot1666"
"spot1667",2,"spot1667"
"spot1668",2,"spot1668"
"spot1669",2,"spot1669"
"spot1670",2,"spot1670"
"spot1672",2,"spot1672"
"spot1674",2,"spot1674"
"spot1675",2,"spot1675"
"spot1676",2,"spot1676"
"spot1677",2,"spot1677"
"spot1678",2,"spot1678"
"spot1679",2,"spot1679"
"spot1680",2,"spot1680"
"spot1681",2,"spot1681"
"spot1683",2,"spot1683"
"spot1684",2,"spot1684"
"spot1685",2,"spot1685"
"spot1686",2,"spot1686"
"spot1687",2,"spot1687"
"spot1688",2,"spot1688"
"spot1689",2,"spot1689"
"spot1690",2,"spot1690"
"spot1691",2,"spot1691"
"spot1692",2,"spot1692"
"spot1693",2,"spot1693"
"spot1694",2,"spot1694"
"spot1696",2,"spot1696"
"spot1697",2,"spot1697"
"spot1698",2,"spot1698"
"spot1699",2,"spot1699"
"spot1700",2,"spot1700"
"spot1701",3,"spot1701"
"spot1704",3,"spot1704"
"spot1705",3,"spot1705"
"spot1707",3,"spot1707"
"spot1710",3,"spot1710"
"spot1711",3,"spot1711"
"spot1712",3,"spot1712"
"spot1713",3,"spot1713"
"spot1714",3,"spot1714"
"spot1715",3,"spot1715"
"spot1716",3,"spot1716"
"spot1717",3,"spot1717"
"spot1718",3,"spot1718"
"spot1721",3,"spot1721"
"spot1722",3,"spot1722"
"spot1723",3,"spot1723"
"spot1724",3,"spot1724"
"spot1725",3,"spot1725"
"spot1728",3,"spot1728"
"spot1729",3,"spot1729"
"spot1731",3,"spot1731"
"spot1732",3,"spot1732"
"spot1734",3,"spot1734"
"spot1735",3,"spot1735"
"spot1736",3,"spot1736"
"spot1737",3,"spot1737"
"spot1738",3,"spot1738"
"spot1739",3,"spot1739"
"spot1742",3,"spot1742"
"spot1743",3,"spot1743"
"spot1744",3,"spot1744"
"spot1745",3,"spot1745"
"spot1746",3,"spot1746"
"spot1747",3,"spot1747"
"spot1749",3,"spot1749"
"spot1750",3,"spot1750"
"spot1752",3,"spot1752"
"spot1753",3,"spot1753"
"spot1755",3,"spot1755"
"spot1756",3,"spot1756"
"spot1757",3,"spot1757"
"spot1758",3,"spot1758"
"spot1760",3,"spot1760"
"spot1761",3,"spot1761"
"spot1762",3,"spot1762"
"spot1763",3,"spot1763"
"spot1764",3,"spot1764"
"spot1765",3,"spot1765"
"spot1766",3,"spot1766"
"spot1767",3,"spot1767"
"spot1769",3,"spot1769"
"spot1772",3,"spot1772"
"spot1775",3,"spot1775"
"spot1777",3,"spot1777"
"spot1778",3,"spot1778"
"spot1779",3,"spot1779"
"spot1781",3,"spot1781"
"spot1782",3,"spot1782"
"spot1783",3,"spot1783"
"spot1784",3,"spot1784"
"spot1785",3,"spot1785"
"spot1786",3,"spot1786"
"spot1787",3,"spot1787"
"spot1788",3,"spot1788"
"spot1789",3,"spot1789"
"spot1790",3,"spot1790"
"spot1792",3,"spot1792"
"spot1793",3,"spot1793"
"spot1794",3,"spot1794"
"spot1795",3,"spot1795"
"spot1796",3,"spot1796"
"spot1797",3,"spot1797"
"spot1798",3,"spot1798"
"spot1799",3,"spot1799"
"spot1800",3,"spot1800"
"spot1801",3,"spot1801"
"spot1802",3,"spot1802"
"spot1803",3,"spot1803"
"spot1804",3,"spot1804"
"spot1805",3,"spot1805"
"spot1806",3,"spot1806"
"spot1807",3,"spot1807"
"spot1809",3,"spot1809"
"spot1810",3,"spot1810"
"spot1811",3,"spot1811"
"spot1812",3,"spot1812"
"spot1813",3,"spot1813"
"spot1814",3,"spot1814"
"spot1815",3,"spot1815"
"spot1816",3,"spot1816"
"spot1817",3,"spot1817"
"spot1818",3,"spot1818"
"spot1819",3,"spot1819"
"spot1820",3,"spot1820"
"spot1821",3,"spot1821"
"spot1822",3,"spot1822"
"spot1823",3,"spot1823"
"spot1824",3,"spot1824"
"spot1825",3,"spot1825"
"spot1826",3,"spot1826"
"spot1830",3,"spot1830"
"spot1831",3,"spot1831"
"spot1832",3,"spot1832"
"spot1833",3,"spot1833"
"spot1836",3,"spot1836"
"spot1837",3,"spot1837"
"spot1838",3,"spot1838"
"spot1839",3,"spot1839"
"spot1840",3,"spot1840"
"spot1841",3,"spot1841"
"spot1842",3,"spot1842"
"spot1844",3,"spot1844"
"spot1846",3,"spot1846"
"spot1847",3,"spot1847"
"spot1848",3,"spot1848"
"spot1849",3,"spot1849"
"spot1850",3,"spot1850"
"spot1851",3,"spot1851"
"spot1853",3,"spot1853"
"spot1854",3,"spot1854"
"spot1855",3,"spot1855"
"spot1856",3,"spot1856"
"spot1858",3,"spot1858"
"spot1859",3,"spot1859"
"spot1860",3,"spot1860"
"spot1861",3,"spot1861"
"spot1862",3,"spot1862"
"spot1863",3,"spot1863"
"spot1864",3,"spot1864"
"spot1865",3,"spot1865"
"spot1866",3,"spot1866"
"spot1867",3,"spot1867"
"spot1868",3,"spot1868"
"spot1869",3,"spot1869"
"spot1870",3,"spot1870"
"spot1871",3,"spot1871"
"spot1872",3,"spot1872"
"spot1873",3,"spot1873"
"spot1874",3,"spot1874"
"spot1876",3,"spot1876"
"spot1877",3,"spot1877"
"spot1878",3,"spot1878"
"spot1879",3,"spot1879"
"spot1880",3,"spot1880"
"spot1881",3,"spot1881"
"spot1882",3,"spot1882"
"spot1884",3,"spot1884"
"spot1885",3,"spot1885"
"spot1887",3,"spot1887"
"spot1888",3,"spot1888"
"spot1889",3,"spot1889"
"spot1890",3,"spot1890"
"spot1891",3,"spot1891"
"spot1892",3,"spot1892"
"spot1893",3,"spot1893"
"spot1894",3,"spot1894"
"spot1895",3,"spot1895"
"spot1896",3,"spot1896"
"spot1898",3,"spot1898"
"spot1899",3,"spot1899"
"spot1900",3,"spot1900"
"spot1901",4,"spot1901"
"spot1902",4,"spot1902"
"spot1903",4,"spot1903"
"spot1904",4,"spot1904"
"spot1905",4,"spot1905"
"spot1906",4,"spot1906"
"spot1907",4,"spot1907"
"spot1908",4,"spot1908"
"spot1910",4,"spot1910"
"spot1911",4,"spot1911"
"spot1912",4,"spot1912"
"spot1913",4,"spot1913"
"spot1914",4,"spot1914"
"spot1916",4,"spot1916"
"spot1917",4,"spot1917"
"spot1919",4,"spot1919"
"spot1920",4,"spot1920"
"spot1921",4,"spot1921"
"spot1922",4,"spot1922"
"spot1923",4,"spot1923"
"spot1925",4,"spot1925"
"spot1926",4,"spot1926"
"spot1929",4,"spot1929"
"spot1930",4,"spot1930"
"spot1931",4,"spot1931"
"spot1932",4,"spot1932"
"spot1934",4,"spot1934"
"spot1936",4,"spot1936"
"spot1938",4,"spot1938"
"spot1939",4,"spot1939"
"spot1941",4,"spot1941"
"spot1942",4,"spot1942"
"spot1943",4,"spot1943"
"spot1945",4,"spot1945"
"spot1946",4,"spot1946"
"spot1948",4,"spot1948"
"spot1950",4,"spot1950"
"spot1952",4,"spot1952"
"spot1953",4,"spot1953"
"spot1954",4,"spot1954"
"spot1955",4,"spot1955"
"spot1956",4,"spot1956"
"spot1958",4,"spot1958"
"spot1959",4,"spot1959"
"spot1960",4,"spot1960"
"spot1962",4,"spot1962"
"spot1963",4,"spot1963"
"spot1964",4,"spot1964"
"spot1965",4,"spot1965"
"spot1966",4,"spot1966"
"spot1967",4,"spot1967"
"spot1968",4,"spot1968"
"spot1969",4,"spot1969"
"spot1971",4,"spot1971"
"spot1973",4,"spot1973"
"spot1975",4,"spot1975"
"spot1976",4,"spot1976"
"spot1977",4,"spot1977"
"spot1979",4,"spot1979"
"spot1980",4,"spot1980"
"spot1981",4,"spot1981"
"spot1982",4,"spot1982"
"spot1983",4,"spot1983"
"spot1984",4,"spot1984"
"spot1985",4,"spot1985"
"spot1987",4,"spot1987"
"spot1988",4,"spot1988"
"spot1989",4,"spot1989"
"spot1990",4,"spot1990"
"spot1992",4,"spot1992"
"spot1993",4,"spot1993"
"spot1994",4,"spot1994"
"spot1995",4,"spot1995"
"spot1996",4,"spot1996"
"spot1997",4,"spot1997"
"spot1998",4,"spot1998"
"spot1999",4,"spot1999"
"spot2000",4,"spot2000"
